TIME,ONLINE TIME,DOWNLOAD,UPLOAD,MAC,DATE,SUM
2023-04-22 11:31:51,0.8333333333333334,54.04,1.95,Phone,2023-04-22,55.99
2023-04-22 09:31:50,2.8333333333333335,743.44,37.54,Laptop,2023-04-22,780.98
2023-04-21 14:06:50,10.866666666666667,1420.0,677.46,Laptop,2023-04-21,2097.46
2023-04-21 12:01:07,0.03333333333333333,0.02,0.03,Laptop,2023-04-21,0.05
2023-04-21 11:51:37,23.333333333333332,2590.0,101.07,Phone,2023-04-21,2691.07
2023-04-21 11:30:08,2.6333333333333333,321.17,33.19,Laptop,2023-04-21,354.36
2023-04-21 10:55:14,0.5,102.46,7.89,Laptop,2023-04-21,110.35
2023-04-21 09:23:19,1.4666666666666668,124.04,18.13,Laptop,2023-04-21,142.17000000000002
2023-04-20 22:04:13,0.7166666666666667,1.22,1.52,Laptop,2023-04-20,2.74
2023-04-20 22:03:16,0.0,0.36,0.7,Laptop,2023-04-20,1.06
2023-04-20 21:14:42,0.75,15.48,1.82,Laptop,2023-04-20,17.3
2023-04-20 21:14:31,14.166666666666666,3040.0,155.4,Phone,2023-04-20,3195.4
2023-04-20 21:10:21,0.03333333333333333,0.22,0.07,Phone,2023-04-20,0.29000000000000004
2023-04-20 16:16:55,0.85,44.98,12.8,Laptop,2023-04-20,57.78
2023-04-20 15:06:39,2.2,633.14,21.97,Phone,2023-04-20,655.11
2023-04-20 15:04:59,0.016666666666666666,0.58,0.15,Phone,2023-04-20,0.73
2023-04-19 18:10:38,12.916666666666666,374.95,23.26,Phone,2023-04-19,398.21
2023-04-19 17:51:14,0.23333333333333334,0.66,0.29,Phone,2023-04-19,0.95
2023-04-19 17:29:12,0.3333333333333333,19.96,0.97,Phone,2023-04-19,20.93
2023-04-19 17:06:46,5.6,1370.0,137.53,Laptop,2023-04-19,1507.53
2023-04-19 17:04:47,0.016666666666666666,9.56,0.71,Laptop,2023-04-19,10.27
2023-04-19 17:02:16,0.03333333333333333,14.03,1.35,Laptop,2023-04-19,15.379999999999999
2023-04-19 08:37:04,3.4833333333333334,717.61,31.52,Laptop,2023-04-19,749.13
2023-04-18 22:11:06,2.9166666666666665,2810.0,118.18,Laptop,2023-04-18,2928.18
2023-04-18 21:59:04,0.03333333333333333,1.1,0.37,Laptop,2023-04-18,1.4700000000000002
2023-04-18 16:59:51,0.21666666666666667,11.35,2.9,Laptop,2023-04-18,14.25
2023-04-18 12:44:58,3.8,1540.0,75.13,Laptop,2023-04-18,1615.13
,,,,Phone,2023-04-18,0.0
,,,,Phone,2023-04-19,0.0
,,,,Phone,2023-04-20,0.0
,,,,Phone,2023-04-21,0.0
,,,,Phone,2023-04-22,0.0
,,,,Phone,2023-04-23,
,,,,Phone,2023-04-24,
,,,,Phone,2023-04-25,
,,,,Phone,2023-04-26,
,,,,Phone,2023-04-27,
,,,,Phone,2023-04-28,
,,,,Phone,2023-04-29,
,,,,Phone,2023-04-30,
,,,,Phone,2023-05-01,
,,,,Phone,2023-05-02,
,,,,Phone,2023-05-03,
,,,,Phone,2023-05-04,
,,,,Phone,2023-05-05,
,,,,Phone,2023-05-06,
,,,,Phone,2023-05-07,
,,,,Phone,2023-05-08,
,,,,Laptop,2023-04-18,0.0
,,,,Laptop,2023-04-19,0.0
,,,,Laptop,2023-04-20,0.0
,,,,Laptop,2023-04-21,0.0
,,,,Laptop,2023-04-22,0.0
,,,,Laptop,2023-04-23,
,,,,Laptop,2023-04-24,
,,,,Laptop,2023-04-25,
,,,,Laptop,2023-04-26,
,,,,Laptop,2023-04-27,
,,,,Laptop,2023-04-28,
,,,,Laptop,2023-04-29,
,,,,Laptop,2023-04-30,
,,,,Laptop,2023-05-01,
,,,,Laptop,2023-05-02,
,,,,Laptop,2023-05-03,
,,,,Laptop,2023-05-04,
,,,,Laptop,2023-05-05,
,,,,Laptop,2023-05-06,
,,,,Laptop,2023-05-07,
,,,,Laptop,2023-05-08,
