#,TIME,ONLINE TIME,DOWNLOAD,UPLOAD,MAC
1,22/04/2023 11:31:51,00:50:00,54.04 MB,1.95 MB,A8:9C:ED:37:54:E3
2,22/04/2023 09:31:50,02:50:00,743.44 MB,37.54 MB,98:22:EF:53:81:45
3,21/04/2023 14:06:50,10:52:20,1.42 GB,677.46 MB,98:22:EF:53:81:45
4,21/04/2023 12:01:07,00:02:11,0.02 MB,0.03 MB,98:22:EF:53:81:45
5,21/04/2023 11:51:37,23:20:38,2.59 GB,101.07 MB,A8:9C:ED:37:54:E3
6,21/04/2023 11:30:08,02:38:40,321.17 MB,33.19 MB,98:22:EF:53:81:45
7,21/04/2023 10:55:14,00:30:00,102.46 MB,7.89 MB,98:22:EF:53:81:45
8,21/04/2023 09:23:19,01:28:43,124.04 MB,18.13 MB,98:22:EF:53:81:45
9,20/04/2023 22:04:13,00:43:48,1.22 MB,1.52 MB,98:22:EF:53:81:45
10,20/04/2023 22:03:16,00:00:38,0.36 MB,0.7 MB,98:22:EF:53:81:45
11,20/04/2023 21:14:42,00:45:24,15.48 MB,1.82 MB,98:22:EF:53:81:45
12,20/04/2023 21:14:31,14:10:01,3.04 GB,155.4 MB,A8:9C:ED:37:54:E3
13,20/04/2023 21:10:21,00:02:15,0.22 MB,0.07 MB,A8:9C:ED:37:54:E3
14,20/04/2023 16:16:55,00:51:43,44.98 MB,12.8 MB,98:22:EF:53:81:45
15,20/04/2023 15:06:39,02:12:48,633.14 MB,21.97 MB,A8:9C:ED:37:54:E3
16,20/04/2023 15:04:59,00:01:39,0.58 MB,0.15 MB,A8:9C:ED:37:54:E3
17,19/04/2023 18:10:38,12:55:16,374.95 MB,23.26 MB,A8:9C:ED:37:54:E3
18,19/04/2023 17:51:14,00:14:30,0.66 MB,0.29 MB,A8:9C:ED:37:54:E3
19,19/04/2023 17:29:12,00:20:13,19.96 MB,0.97 MB,A8:9C:ED:37:54:E3
20,19/04/2023 17:06:46,05:36:10,1.37 GB,137.53 MB,98:22:EF:53:81:45
21,19/04/2023 17:04:47,00:01:48,9.56 MB,0.71 MB,98:22:EF:53:81:45
22,19/04/2023 17:02:16,00:02:20,14.03 MB,1.35 MB,98:22:EF:53:81:45
23,19/04/2023 08:37:04,03:29:04,717.61 MB,31.52 MB,98:22:EF:53:81:45
24,18/04/2023 22:11:06,02:55:49,2.81 GB,118.18 MB,98:22:EF:53:81:45
25,18/04/2023 21:59:04,00:02:25,1.1 MB,0.37 MB,98:22:EF:53:81:45
26,18/04/2023 16:59:51,00:13:01,11.35 MB,2.9 MB,98:22:EF:53:81:45
27,18/04/2023 12:44:58,03:48:03,1.54 GB,75.13 MB,98:22:EF:53:81:45
